SongURL,Songname,Composer,Duration
https://www.youtube.com/embed/yc6F_73UNNQ?enablejs=1si=nHAYxZK0Awa0dvC_,Forgive Me,Maher Zain,4:43
https://www.youtube.com/embed/7MeOQKWutyw?enablejs=1si=tCmys3xSLQtrF0vd,Bali Daba(Go Forth),Benammi,4:21
https://www.youtube.com/embed/9MH2Bg9LdVU?enablejs=1si=PpqnfmPngmhhgflQ,Ama Zilna,Benammi,3:47
https://www.youtube.com/embed/gsjDoi0vk_g?enablejs=1si=iyyIqB7hHRNMCe64,A Promise,Benammi,4:48
https://www.youtube.com/embed/FKZtFNcsZxA?enablejs=1si=1lFhxpx4aHyAemNf,Yadi Nabi,Benammi,5:24
https://www.youtube.com/embed/bjn-74iGDuA?enablejs=1si=53LYTTBVJHHwrGgK,The Last Messenger,Benammi,3:37
https://www.youtube.com/embed/Qg-3-_Xdk14?enablejs=1si=xNRhFBlQKVErvWMv,Tala'al Badru Alayna,Benammi,3:28
https://www.youtube.com/embed/JzzjOXQ-G8I?enablejs=1si=KbQvwFI5ezAx_wQ9,Rahman Ya Rahman,Mishary Rashid Al Fasi,4:38
https://www.youtube.com/embed/RITZNgB0Tko?enablejs=1si=ShsT8vyWlGg0BPQJ,The Garden,Benammi,4:43
https://www.youtube.com/embed/pxOtLCRtqnY?enablejs=1si=c5BWwWpJS4rr0py_,The Glorified Names,Benammi,2:24
